DATE ; IP ; SOURCE ; DESTINATION ; PORT ; FLAG ; SEQ ; ACK ; WIN ; OPTIONS ; VAL ; ECR ; LENGTH
07:48:19.732369; ;BP-Linux8.ssh;192.168.190.222;61617:;P.;2767521980:2767522088;3024075344;291;nopnopTS;136694980;2033236869;108
07:48:19.732419; ;BP-Linux8.ssh;192.168.190.222;61617:;P.;108:144;1;291;nopnopTS;136694980;2033236869;36
07:48:19.732448; ;BP-Linux8.ssh;192.168.190.222;61617:;P.;144:252;1;291;nopnopTS;136694980;2033236869;108
07:48:19.732472; ;BP-Linux8.ssh;192.168.190.222;61617:;P.;252:288;1;291;nopnopTS;136694980;2033236869;36
07:48:19.737919; ;192.168.190.222.61617;BP-Linux8;ssh:;.; ;108;2046;nopnopTS;2033237655;136694980;0
07:48:19.737993; ;192.168.190.222.61617;BP-Linux8;ssh:;.; ;144;2047;nopnopTS;2033237655;136694980;0
07:48:19.738012; ;192.168.190.222.61617;BP-Linux8;ssh:;.; ;252;2046;nopnopTS;2033237655;136694980;0
07:48:19.738112; ;192.168.190.222.61617;BP-Linux8;ssh:;.; ;288;2047;nopnopTS;2033237655;136694980;0
07:48:20.733627; ;BP-Linux8.49710;ns1.lan.rt;domain:; ; ; ; ; ; ; ; 
07:48:20.734593; ;ns1.lan.rt.domain;BP-Linux8;49710:; ; ; ; ; ; ; ; 
07:48:21.243601; ;192.168.190.222.61599;BP-Linux8;ssh:;P.;234188084:234188120;915563485;2048;nopnopTS;2033239158;136687195;36
07:48:21.244153; ;BP-Linux8.ssh;192.168.190.222;61599:;P.;1:37;36;291;nopnopTS;136695358;2033239158;36
07:48:21.246053; ;BP-Linux8.54575;ns1.lan.rt;domain:; ; ; ; ; ; ; ; 
07:48:21.249648; ;192.168.190.222.61599;BP-Linux8;ssh:;.; ;37;2047;nopnopTS;2033239164;136695358;0
07:48:21.273815; ;ns1.lan.rt.domain;BP-Linux8;54575:; ; ; ; ; ; ; ; 
07:48:21.279679; ;BP-Linux8.ssh;192.168.190.222;61599:;P.;37:145;36;291;nopnopTS;136695367;2033239164;108
07:48:21.279716; ;BP-Linux8.ssh;192.168.190.222;61599:;P.;145:181;36;291;nopnopTS;136695367;2033239164;36
07:48:21.279742; ;164.100.61.151.1511;52.94.228.167;http:;S;1195841279:1195841399; ;512; ; ; ;120:
07:48:21.279768; ;164.100.61.151.1512;52.94.228.167;http:;S;477491976:477492096; ;512; ; ; ;120:
07:48:21.279789; ;164.100.61.151.1513;52.94.228.167;http:;S;200191722:200191842; ;512; ; ; ;120:
07:48:21.279809; ;164.100.61.151.1514;52.94.228.167;http:;S;1846444293:1846444413; ;512; ; ; ;120:
07:48:21.279829; ;164.100.61.151.1515;52.94.228.167;http:;S;1210409127:1210409247; ;512; ; ; ;120:
07:48:21.279848; ;164.100.61.151.1516;52.94.228.167;http:;S;1446674092:1446674212; ;512; ; ; ;120:
07:48:21.279868; ;164.100.61.151.1517;52.94.228.167;http:;S;945243139:945243259; ;512; ; ; ;120:
07:48:21.279887; ;164.100.61.151.1518;52.94.228.167;http:;S;67952647:67952767; ;512; ; ; ;120:
07:48:21.279907; ;164.100.61.151.1519;52.94.228.167;http:;S;1684914822:1684914942; ;512; ; ; ;120:
07:48:21.279926; ;164.100.61.151.1520;52.94.228.167;http:;S;1267109739:1267109859; ;512; ; ; ;120:
07:48:21.279946; ;164.100.61.151.1521;52.94.228.167;http:;S;1743382226:1743382346; ;512; ; ; ;120:
07:48:21.279965; ;164.100.61.151.1522;52.94.228.167;http:;S;1983682305:1983682425; ;512; ; ; ;120:
07:48:21.279985; ;164.100.61.151.1523;52.94.228.167;http:;S;485665276:485665396; ;512; ; ; ;120:
07:48:21.280004; ;164.100.61.151.ingreslock;52.94.228.167;http:;S;436319253:436319373; ;512; ; ; ;120:
07:48:21.280024; ;164.100.61.151.prospero-np;52.94.228.167;http:;S;166426534:166426654; ;512; ; ; ;120:
07:48:21.280043; ;164.100.61.151.1526;52.94.228.167;http:;S;88136788:88136908; ;512; ; ; ;120:
07:48:21.280060; ;164.100.61.151.1527;52.94.228.167;http:;S;92498004:92498124; ;512; ; ; ;120:
07:48:21.280077; ;164.100.61.151.1528;52.94.228.167;http:;S;26554994:26555114; ;512; ; ; ;120:
07:48:21.280094; ;164.100.61.151.support;52.94.228.167;http:;S;1693892343:1693892463; ;512; ; ; ;120:
07:48:21.280111; ;164.100.61.151.1530;52.94.228.167;http:;S;1058126566:1058126686; ;512; ; ; ;120:
07:48:21.280128; ;164.100.61.151.1531;52.94.228.167;http:;S;476272567:476272687; ;512; ; ; ;120:
07:48:21.280144; ;164.100.61.151.1532;52.94.228.167;http:;S;1679155844:1679155964; ;512; ; ; ;120:
07:48:21.280161; ;164.100.61.151.1533;52.94.228.167;http:;S;487065773:487065893; ;512; ; ; ;120:
